timestamp,pm25_raw,temperature,humidity,voc
2026-04-02 10:00:00,63.9,28.5,53.8,198.0
2026-04-02 11:00:00,58.4,28.3,57.4,181.0
2026-04-02 12:00:00,62.1,23.6,59.3,187.0
2026-04-02 13:00:00,54.8,23.3,60.8,193.0
2026-04-02 14:00:00,50.9,22.6,68.8,183.0
2026-04-02 15:00:00,,21.7,63.0,188.0
2026-04-02 16:00:00,51.0,20.9,72.3,182.0
2026-04-02 17:00:00,50.0,21.7,70.1,178.0
2026-04-02 18:00:00,40.3,20.8,72.2,174.0
2026-04-02 19:00:00,31.7,20.3,68.5,167.0
2026-04-02 20:00:00,34.1,22.4,66.1,169.0
2026-04-02 21:00:00,21.4,,65.5,159.0
2026-04-02 22:00:00,25.3,22.6,61.0,163.0
2026-04-02 23:00:00,29.3,24.4,61.2,159.0
2026-04-03 00:00:00,15.8,25.5,57.4,150.0
2026-04-03 01:00:00,16.9,26.2,54.4,167.0
2026-04-03 02:00:00,23.3,29.3,52.4,169.0
2026-04-03 03:00:00,25.0,29.4,51.8,185.0
2026-04-03 04:00:00,33.2,31.3,52.4,161.0
2026-04-03 05:00:00,38.3,29.8,47.7,175.0
2026-04-03 06:00:00,45.7,30.2,45.3,180.0
2026-04-03 07:00:00,52.4,30.1,50.7,193.0
2026-04-03 08:00:00,51.9,29.2,51.8,181.0
2026-04-03 09:00:00,54.9,29.8,55.6,180.0
2026-04-03 10:00:00,66.7,27.3,55.1,203.0
2026-04-03 11:00:00,71.2,26.7,54.5,193.0
2026-04-03 12:00:00,64.9,24.8,58.0,200.0
2026-04-03 13:00:00,61.8,25.6,63.6,199.0
2026-04-03 14:00:00,55.4,21.7,63.2,
2026-04-03 15:00:00,51.1,21.7,68.8,184.0
2026-04-03 16:00:00,62.4,19.9,69.3,183.0
2026-04-03 17:00:00,53.3,19.6,68.6,183.0
2026-04-03 18:00:00,37.2,21.9,69.2,183.0
2026-04-03 19:00:00,38.1,21.9,67.0,168.0
2026-04-03 20:00:00,29.2,22.6,68.7,170.0
2026-04-03 21:00:00,25.5,22.2,65.8,155.0
2026-04-03 22:00:00,25.1,22.2,61.1,156.0
2026-04-03 23:00:00,28.7,25.6,60.5,165.0
2026-04-04 00:00:00,17.4,24.6,58.7,146.0
2026-04-04 01:00:00,26.6,27.5,56.0,183.0
2026-04-04 02:00:00,11.3,28.1,55.6,150.0
2026-04-04 03:00:00,26.7,29.8,50.6,169.0
2026-04-04 04:00:00,37.2,30.2,47.8,181.0
2026-04-04 05:00:00,35.4,30.0,51.0,168.0
2026-04-04 06:00:00,42.7,30.8,50.2,162.0
2026-04-04 07:00:00,45.5,30.3,47.0,176.0
2026-04-04 08:00:00,58.1,28.7,,180.0
2026-04-04 09:00:00,57.7,27.8,52.5,173.0
2026-04-04 10:00:00,55.3,,55.9,198.0
2026-04-04 11:00:00,60.4,28.0,58.9,194.0
2026-04-04 12:00:00,66.9,25.6,63.5,201.0
2026-04-04 13:00:00,63.2,25.3,63.6,183.0
2026-04-04 14:00:00,67.6,20.2,66.1,180.0
2026-04-04 15:00:00,53.2,20.6,,185.0
2026-04-04 16:00:00,43.9,21.9,71.6,182.0
2026-04-04 17:00:00,48.5,20.1,69.1,188.0
2026-04-04 18:00:00,40.7,21.0,68.3,187.0
2026-04-04 19:00:00,37.7,20.1,67.7,183.0
2026-04-04 20:00:00,30.1,22.0,71.2,169.0
2026-04-04 21:00:00,25.3,22.9,61.4,171.0
2026-04-04 22:00:00,22.2,22.2,62.3,157.0
2026-04-04 23:00:00,18.8,23.7,57.0,161.0
2026-04-05 00:00:00,23.1,26.2,56.7,153.0
2026-04-05 01:00:00,25.9,26.5,,164.0
2026-04-05 02:00:00,28.8,27.9,56.1,166.0
2026-04-05 03:00:00,34.2,28.6,53.4,182.0
2026-04-05 04:00:00,28.4,29.6,49.0,168.0
2026-04-05 05:00:00,40.9,31.2,48.1,176.0
2026-04-05 06:00:00,44.0,29.2,49.6,
2026-04-05 07:00:00,46.7,29.3,47.3,179.0
2026-04-05 08:00:00,54.0,28.8,52.1,181.0
2026-04-05 09:00:00,63.8,28.5,53.1,202.0
2026-04-05 10:00:00,70.4,26.9,54.1,189.0
2026-04-05 11:00:00,66.9,25.9,56.8,184.0
2026-04-05 12:00:00,64.7,25.2,57.2,200.0
2026-04-05 13:00:00,62.8,21.9,61.0,202.0
2026-04-05 14:00:00,57.4,23.0,67.2,183.0
2026-04-05 15:00:00,50.3,20.4,67.9,184.0
2026-04-05 16:00:00,50.6,19.4,68.3,186.0
2026-04-05 17:00:00,51.8,20.4,67.1,179.0
2026-04-05 18:00:00,40.8,19.5,66.3,169.0
2026-04-05 19:00:00,29.2,20.4,69.8,179.0
2026-04-05 20:00:00,33.3,22.4,64.0,172.0
2026-04-05 21:00:00,21.7,22.5,64.1,173.0
2026-04-05 22:00:00,25.7,24.1,60.9,155.0
2026-04-05 23:00:00,21.1,24.1,58.7,160.0
2026-04-06 00:00:00,24.8,25.7,55.9,166.0
2026-04-06 01:00:00,20.2,27.6,53.7,154.0
2026-04-06 02:00:00,33.9,29.2,51.0,174.0
2026-04-06 03:00:00,21.2,30.2,50.6,176.0
2026-04-06 04:00:00,37.7,30.7,53.0,169.0
2026-04-06 05:00:00,48.8,30.6,49.2,182.0
2026-04-06 06:00:00,43.7,30.7,49.2,191.0
2026-04-06 07:00:00,49.7,30.5,53.4,198.0
2026-04-06 08:00:00,56.6,29.3,49.6,195.0
2026-04-06 09:00:00,60.6,28.5,51.4,195.0
2026-04-06 10:00:00,53.3,27.0,57.5,183.0
2026-04-06 11:00:00,68.6,25.5,62.1,197.0
2026-04-06 12:00:00,60.0,23.9,60.1,196.0
2026-04-06 13:00:00,64.4,22.2,65.5,192.0
2026-04-06 14:00:00,58.0,22.2,65.6,183.0
2026-04-06 15:00:00,57.4,20.6,64.1,180.0
2026-04-06 16:00:00,46.9,20.4,65.5,167.0
2026-04-06 17:00:00,35.7,20.7,71.3,163.0
2026-04-06 18:00:00,42.7,20.6,69.0,181.0
2026-04-06 19:00:00,32.7,20.6,67.7,169.0
2026-04-06 20:00:00,22.2,22.0,69.3,164.0
2026-04-06 21:00:00,26.0,22.9,64.2,164.0
2026-04-06 22:00:00,12.5,23.6,67.0,161.0
2026-04-06 23:00:00,20.2,26.5,58.7,161.0
2026-04-07 00:00:00,23.9,25.2,55.8,152.0
2026-04-07 01:00:00,28.6,30.4,51.2,173.0
2026-04-07 02:00:00,26.8,28.7,50.7,166.0
2026-04-07 03:00:00,,29.9,51.9,169.0
2026-04-07 04:00:00,36.9,29.7,48.8,181.0
2026-04-07 05:00:00,38.9,30.7,49.4,172.0
2026-04-07 06:00:00,48.2,30.5,47.5,192.0
2026-04-07 07:00:00,56.6,29.1,49.5,185.0
2026-04-07 08:00:00,52.0,29.8,52.7,195.0
2026-04-07 09:00:00,68.3,28.1,55.2,198.0
2026-04-07 10:00:00,68.2,26.7,57.0,186.0
2026-04-07 11:00:00,62.4,25.7,61.2,197.0
2026-04-07 12:00:00,67.2,23.6,59.9,200.0
2026-04-07 13:00:00,61.3,23.9,61.7,193.0
2026-04-07 14:00:00,55.7,23.2,66.4,186.0
2026-04-07 15:00:00,55.2,21.6,67.8,187.0
2026-04-07 16:00:00,49.3,20.4,67.7,187.0
2026-04-07 17:00:00,43.9,20.7,69.9,184.0
2026-04-07 18:00:00,42.1,,66.5,177.0
2026-04-07 19:00:00,29.2,20.9,63.9,157.0
2026-04-07 20:00:00,30.6,20.9,70.3,173.0
2026-04-07 21:00:00,23.7,23.0,64.2,171.0
2026-04-07 22:00:00,25.9,23.6,61.5,183.0
2026-04-07 23:00:00,28.1,26.5,59.6,174.0
